Verjetnost,Radij,Okuženi,Preboleli,Koraki
0.04,0.06,0,1999,87
0.04,0.06,0,2000,93
0.04,0.06,0,2000,90
0.04,0.06,0,2000,87
0.04,0.06,0,2000,96
0.04,0.06,0,1999,96
0.04,0.06,0,1997,98
0.04,0.06,0,2000,73
0.04,0.06,0,2000,97
0.04,0.06,0,1998,69
0.04,0.06,0,2000,72
0.04,0.06,0,2000,107
0.04,0.06,0,1999,80
0.04,0.06,0,2000,79
0.04,0.06,0,1999,94
0.04,0.06,0,2000,94
0.06,0.06,0,2000,76
0.06,0.06,0,2000,69
0.06,0.06,0,2000,75
0.06,0.06,0,2000,76
0.06,0.06,0,2000,67
0.06,0.06,0,1999,67
0.06,0.06,0,2000,71
0.06,0.06,0,2000,66
0.06,0.06,0,1999,62
0.06,0.06,0,2000,64
0.06,0.06,0,2000,65
0.06,0.06,0,2000,72
0.06,0.06,0,2000,77
0.06,0.06,0,2000,79
0.06,0.06,0,1999,79
0.06,0.06,0,2000,65
0.06,0.06,0,2000,65
0.06,0.06,0,2000,61
0.06,0.06,0,2000,64
0.06,0.06,0,1999,75
0.06,0.06,0,1999,73
0.06,0.06,0,2000,72
0.06,0.06,0,2000,67
0.06,0.06,0,2000,75
0.06,0.06,0,2000,67
0.06,0.06,0,2000,59
0.06,0.06,0,2000,63
0.06,0.06,0,2000,84
0.06,0.06,0,2000,74
0.06,0.06,0,2000,82
0.06,0.06,0,2000,59
0.06,0.06,0,2000,78
0.06,0.06,0,2000,65
0.06,0.06,0,2000,63
0.06,0.06,0,2000,68
0.06,0.06,0,2000,77
0.06,0.06,0,2000,72
0.06,0.06,0,2000,64
0.06,0.06,0,2000,58
0.06,0.06,0,2000,57
0.06,0.06,0,2000,87
0.06,0.06,0,2000,71
0.06,0.06,0,2000,57
0.06,0.06,0,2000,70
0.06,0.06,0,1998,66
0.06,0.06,0,2000,68
0.06,0.06,0,1999,69
0.06,0.06,0,2000,65
0.06,0.06,0,1999,71
0.06,0.06,0,2000,74
0.06,0.06,0,2000,60
0.06,0.06,0,2000,68
0.06,0.06,0,2000,67
0.06,0.06,0,1999,78
0.06,0.06,0,2000,56
0.06,0.06,0,2000,56
0.06,0.06,0,2000,57
0.06,0.06,0,2000,69
0.06,0.06,0,2000,68
0.06,0.06,0,2000,64
0.06,0.06,0,2000,66
0.06,0.06,0,2000,67
0.06,0.06,0,2000,68
0.06,0.06,0,2000,66
0.06,0.06,0,1999,68
0.06,0.06,0,2000,72
0.06,0.06,0,1999,77
0.06,0.06,0,2000,62
0.06,0.06,0,2000,59
0.06,0.06,0,2000,63
0.06,0.06,0,2000,75
0.06,0.06,0,2000,65
0.06,0.06,0,2000,55
0.06,0.06,0,2000,75
0.06,0.06,0,2000,64
0.06,0.06,0,2000,73
0.06,0.06,0,2000,60
0.06,0.06,0,2000,72
0.06,0.06,0,2000,72
0.06,0.06,0,2000,65
